time,2020/6/1 12:00,2020/6/1 13:00,2020/6/1 14:00,2020/6/1 15:00,2020/6/1 16:00,2020/6/1 17:00,2020/6/1 18:00,2020/6/1 19:00,2020/6/1 20:00,2020/6/1 21:00,2020/6/1 22:00,2020/6/1 23:00,2020/6/2 0:00,2020/6/2 1:00,2020/6/2 2:00,2020/6/2 3:00,2020/6/2 4:00,2020/6/2 5:00,2020/6/2 6:00,2020/6/2 7:00,2020/6/2 8:00,2020/6/2 9:00,2020/6/2 10:00,2020/6/2 11:00,2020/6/2 12:00,2020/6/2 13:00,2020/6/2 14:00,2020/6/2 15:00,2020/6/2 16:00,2020/6/2 17:00,2020/6/2 18:00,2020/6/2 19:00,2020/6/2 20:00,2020/6/2 21:00,2020/6/2 22:00,2020/6/2 23:00,2020/6/3 0:00,2020/6/3 1:00,2020/6/3 2:00,2020/6/3 3:00,2020/6/3 4:00,2020/6/3 5:00,2020/6/3 6:00,2020/6/3 7:00,2020/6/3 8:00,2020/6/3 9:00,2020/6/3 10:00,2020/6/3 11:00,2020/6/3 12:00,2020/6/3 13:00,2020/6/3 14:00,2020/6/3 15:00,2020/6/3 16:00,2020/6/3 17:00,2020/6/3 18:00,2020/6/3 19:00,2020/6/3 20:00,2020/6/3 21:00,2020/6/3 22:00,2020/6/3 23:00,2020/6/4 0:00,2020/6/4 1:00,2020/6/4 2:00,2020/6/4 3:00,2020/6/4 4:00,2020/6/4 5:00,2020/6/4 6:00,2020/6/4 7:00,2020/6/4 8:00,2020/6/4 9:00,2020/6/4 10:00,2020/6/4 11:00,2020/6/4 12:00,2020/6/4 13:00,2020/6/4 14:00,2020/6/4 15:00,2020/6/4 16:00,2020/6/4 17:00,2020/6/4 18:00,2020/6/4 19:00,2020/6/4 20:00,2020/6/4 21:00,2020/6/4 22:00,2020/6/4 23:00,2020/6/5 0:00,2020/6/5 1:00,2020/6/5 2:00,2020/6/5 3:00,2020/6/5 4:00,2020/6/5 5:00,2020/6/5 6:00,2020/6/5 7:00,2020/6/5 8:00,2020/6/5 9:00,2020/6/5 10:00,2020/6/5 11:00,2020/6/5 12:00,2020/6/5 13:00,2020/6/5 14:00,2020/6/5 15:00
hoge1,124,23,253,44,223,156,79,143.2857143,146.8928571,150.5,154.1071429,157.7142857,161.3214286,164.9285714,168.5357143,172.1428571,175.75,179.3571429,182.9642857,186.5714286,190.1785714,193.7857143,197.3928571,201,204.6071429,208.2142857,211.8214286,215.4285714,219.0357143,222.6428571,226.25,229.8571429,233.4642857,237.0714286,240.6785714,244.2857143,247.8928571,251.5,255.1071429,258.7142857,262.3214286,265.9285714,269.5357143,273.1428571,276.75,280.3571429,283.9642857,287.5714286,291.1785714,294.7857143,298.3928571,302,305.6071429,309.2142857,312.8214286,316.4285714,320.0357143,323.6428571,327.25,330.8571429,334.4642857,338.0714286,341.6785714,345.2857143,348.8928571,352.5,356.1071429,359.7142857,363.3214286,366.9285714,370.5357143,374.1428571,377.75,381.3571429,384.9642857,388.5714286,392.1785714,395.7857143,399.3928571,403,406.6071429,410.2142857,413.8214286,417.4285714,421.0357143,424.6428571,428.25,431.8571429,435.4642857,439.0714286,442.6785714,446.2857143,449.8928571,453.5,457.1071429,460.7142857,464.3214286,467.9285714,471.5357143,475.1428571
hoge2,NA,NA,31,42,154,125,36,NA,NA,105.5,114.8,124.1,133.4,142.7,NA,NA,152,161.3,170.6,179.9,189.2,NA,NA,198.5,207.8,217.1,226.4,235.7,NA,NA,245,254.3,263.6,272.9,282.2,NA,NA,291.5,300.8,310.1,319.4,328.7,NA,NA,338,347.3,356.6,365.9,375.2,NA,NA,384.5,393.8,403.1,412.4,421.7,NA,NA,431,440.3,449.6,458.9,468.2,NA,NA,477.5,486.8,496.1,505.4,514.7,NA,NA,524,533.3,542.6,551.9,561.2,NA,NA,570.5,579.8,589.1,598.4,607.7,NA,NA,617,626.3,635.6,644.9,654.2,NA,NA,663.5,672.8,682.1,691.4,700.7,NA,NA
hoge3,256,15,253,NA,167,75,69,171.6666667,170.1666667,168.6666667,NA,5.666666667,-43.33333333,-92.33333333,167.1666667,165.6666667,164.1666667,NA,-141.3333333,-190.3333333,-239.3333333,162.6666667,161.1666667,159.6666667,NA,-288.3333333,-337.3333333,-386.3333333,158.1666667,156.6666667,155.1666667,NA,-435.3333333,-484.3333333,-533.3333333,153.6666667,152.1666667,150.6666667,NA,-582.3333333,-631.3333333,-680.3333333,149.1666667,147.6666667,146.1666667,NA,-729.3333333,-778.3333333,-827.3333333,144.6666667,143.1666667,141.6666667,NA,-876.3333333,-925.3333333,-974.3333333,140.1666667,138.6666667,137.1666667,NA,-1023.333333,-1072.333333,-1121.333333,135.6666667,134.1666667,132.6666667,NA,-1170.333333,-1219.333333,-1268.333333,131.1666667,129.6666667,128.1666667,NA,-1317.333333,-1366.333333,-1415.333333,126.6666667,125.1666667,123.6666667,NA,-1464.333333,-1513.333333,-1562.333333,122.1666667,120.6666667,119.1666667,NA,-1611.333333,-1660.333333,-1709.333333,117.6666667,116.1666667,114.6666667,NA,-1758.333333,-1807.333333,-1856.333333,113.1666667,111.6666667
hoge4,124,23,179,40,125.3333333,37.66666667,51.33333333,143.2857143,146.8928571,159.7222222,75.49285714,-56.22063492,-120.8587302,-185.4968254,168.5357143,172.1428571,152.3888889,143.2428571,-253.5539683,-318.1920635,-382.8301587,193.7857143,197.3928571,145.0555556,210.9928571,-450.8873016,-515.5253968,-580.1634921,219.0357143,222.6428571,137.7222222,278.7428571,-648.2206349,-712.8587302,-777.4968254,244.2857143,247.8928571,130.3888889,346.4928571,-845.5539683,-910.1920635,-974.8301587,269.5357143,273.1428571,123.0555556,414.2428571,-1042.887302,-1107.525397,-1172.163492,294.7857143,298.3928571,115.7222222,481.9928571,-1240.220635,-1304.85873,-1369.496825,320.0357143,323.6428571,108.3888889,549.7428571,-1437.553968,-1502.192063,-1566.830159,345.2857143,348.8928571,101.0555556,617.4928571,-1634.887302,-1699.525397,-1764.163492,370.5357143,374.1428571,93.72222222,685.2428571,-1832.220635,-1896.85873,-1961.496825,395.7857143,399.3928571,86.38888889,752.9928571,-2029.553968,-2094.192063,-2158.830159,421.0357143,424.6428571,79.05555556,820.7428571,-2226.887302,-2291.525397,-2356.163492,446.2857143,449.8928571,71.72222222,888.4928571,-2424.220635,-2488.85873,-2553.496825,471.5357143,475.1428571
hoge5,NA,NA,179,38,97.33333333,-2.833333333,46.33333333,NA,NA,168.8055556,36.18571429,-132.2444444,-223.1861111,-314.1277778,NA,NA,146.5972222,125.1857143,-415.7027778,-506.6444444,-597.5861111,NA,NA,124.3888889,214.1857143,-699.1611111,-790.1027778,-881.0444444,NA,NA,102.1805556,303.1857143,-982.6194444,-1073.561111,-1164.502778,NA,NA,79.97222222,392.1857143,-1266.077778,-1357.019444,-1447.961111,NA,NA,57.76388889,481.1857143,-1549.536111,-1640.477778,-1731.419444,NA,NA,35.55555556,570.1857143,-1832.994444,-1923.936111,-2014.877778,NA,NA,13.34722222,659.1857143,-2116.452778,-2207.394444,-2298.336111,NA,NA,-8.861111111,748.1857143,-2399.911111,-2490.852778,-2581.794444,NA,NA,-31.06944444,837.1857143,-2683.369444,-2774.311111,-2865.252778,NA,NA,-53.27777778,926.1857143,-2966.827778,-3057.769444,-3148.711111,NA,NA,-75.48611111,1015.185714,-3250.286111,-3341.227778,-3432.169444,NA,NA,-97.69444444,1104.185714,-3533.744444,-3624.686111,-3715.627778,NA,NA
hoge6,256,15,179,NA,69.33333333,-43.33333333,41.33333333,171.6666667,170.1666667,177.8888889,NA,-208.268254,-325.5134921,-442.7587302,167.1666667,165.6666667,140.8055556,NA,-577.8515873,-695.0968254,-812.3420635,162.6666667,161.1666667,103.7222222,NA,-947.4349206,-1064.680159,-1181.925397,158.1666667,156.6666667,66.63888889,NA,-1317.018254,-1434.263492,-1551.50873,153.6666667,152.1666667,29.55555556,NA,-1686.601587,-1803.846825,-1921.092063,149.1666667,147.6666667,-7.527777778,NA,-2056.184921,-2173.430159,-2290.675397,144.6666667,143.1666667,-44.61111111,NA,-2425.768254,-2543.013492,-2660.25873,140.1666667,138.6666667,-81.69444444,NA,-2795.351587,-2912.596825,-3029.842063,135.6666667,134.1666667,-118.7777778,NA,-3164.934921,-3282.180159,-3399.425397,131.1666667,129.6666667,-155.8611111,NA,-3534.518254,-3651.763492,-3769.00873,126.6666667,125.1666667,-192.9444444,NA,-3904.101587,-4021.346825,-4138.592063,122.1666667,120.6666667,-230.0277778,NA,-4273.684921,-4390.930159,-4508.175397,117.6666667,116.1666667,-267.1111111,NA,-4643.268254,-4760.513492,-4877.75873,113.1666667,111.6666667
hoge7,124,23,179,36,41.33333333,-83.83333333,36.33333333,143.2857143,146.8928571,186.9722222,-3.121428571,-284.2920635,-427.840873,-571.3896825,168.5357143,172.1428571,135.0138889,107.1285714,-740.0003968,-883.5492063,-1027.098016,193.7857143,197.3928571,83.05555556,217.3785714,-1195.70873,-1339.25754,-1482.806349,219.0357143,222.6428571,31.09722222,327.6285714,-1651.417063,-1794.965873,-1938.514683,244.2857143,247.8928571,-20.86111111,437.8785714,-2107.125397,-2250.674206,-2394.223016,269.5357143,273.1428571,-72.81944444,548.1285714,-2562.83373,-2706.38254,-2849.931349,294.7857143,298.3928571,-124.7777778,658.3785714,-3018.542063,-3162.090873,-3305.639683,320.0357143,323.6428571,-176.7361111,768.6285714,-3474.250397,-3617.799206,-3761.348016,345.2857143,348.8928571,-228.6944444,878.8785714,-3929.95873,-4073.50754,-4217.056349,370.5357143,374.1428571,-280.6527778,989.1285714,-4385.667063,-4529.215873,-4672.764683,395.7857143,399.3928571,-332.6111111,1099.378571,-4841.375397,-4984.924206,-5128.473016,421.0357143,424.6428571,-384.5694444,1209.628571,-5297.08373,-5440.63254,-5584.181349,446.2857143,449.8928571,-436.5277778,1319.878571,-5752.792063,-5896.340873,-6039.889683,471.5357143,475.1428571
hoge8,NA,NA,179,34,13.33333333,-124.3333333,31.33333333,NA,NA,196.0555556,-42.42857143,-360.315873,-530.168254,-700.0206349,NA,NA,129.2222222,89.07142857,-902.1492063,-1072.001587,-1241.853968,NA,NA,62.38888889,220.5714286,-1443.98254,-1613.834921,-1783.687302,NA,NA,-4.444444444,352.0714286,-1985.815873,-2155.668254,-2325.520635,NA,NA,-71.27777778,483.5714286,-2527.649206,-2697.501587,-2867.353968,NA,NA,-138.1111111,615.0714286,-3069.48254,-3239.334921,-3409.187302,NA,NA,-204.9444444,746.5714286,-3611.315873,-3781.168254,-3951.020635,NA,NA,-271.7777778,878.0714286,-4153.149206,-4323.001587,-4492.853968,NA,NA,-338.6111111,1009.571429,-4694.98254,-4864.834921,-5034.687302,NA,NA,-405.4444444,1141.071429,-5236.815873,-5406.668254,-5576.520635,NA,NA,-472.2777778,1272.571429,-5778.649206,-5948.501587,-6118.353968,NA,NA,-539.1111111,1404.071429,-6320.48254,-6490.334921,-6660.187302,NA,NA,-605.9444444,1535.571429,-6862.315873,-7032.168254,-7202.020635,NA,NA
hoge9,256,15,179,NA,-14.66666667,-164.8333333,26.33333333,171.6666667,170.1666667,205.1388889,NA,-436.3396825,-632.4956349,-828.6515873,167.1666667,165.6666667,123.4305556,NA,-1064.298016,-1260.453968,-1456.609921,162.6666667,161.1666667,41.72222222,NA,-1692.256349,-1888.412302,-2084.568254,158.1666667,156.6666667,-39.98611111,NA,-2320.214683,-2516.370635,-2712.526587,153.6666667,152.1666667,-121.6944444,NA,-2948.173016,-3144.328968,-3340.484921,149.1666667,147.6666667,-203.4027778,NA,-3576.131349,-3772.287302,-3968.443254,144.6666667,143.1666667,-285.1111111,NA,-4204.089683,-4400.245635,-4596.401587,140.1666667,138.6666667,-366.8194444,NA,-4832.048016,-5028.203968,-5224.359921,135.6666667,134.1666667,-448.5277778,NA,-5460.006349,-5656.162302,-5852.318254,131.1666667,129.6666667,-530.2361111,NA,-6087.964683,-6284.120635,-6480.276587,126.6666667,125.1666667,-611.9444444,NA,-6715.923016,-6912.078968,-7108.234921,122.1666667,120.6666667,-693.6527778,NA,-7343.881349,-7540.037302,-7736.193254,117.6666667,116.1666667,-775.3611111,NA,-7971.839683,-8167.995635,-8364.151587,113.1666667,111.6666667
hoge10,124,23,179,32,-42.66666667,-205.3333333,21.33333333,143.2857143,146.8928571,214.2222222,-81.73571429,-512.3634921,-734.8230159,-957.2825397,168.5357143,172.1428571,117.6388889,71.01428571,-1226.446825,-1448.906349,-1671.365873,193.7857143,197.3928571,21.05555556,223.7642857,-1940.530159,-2162.989683,-2385.449206,219.0357143,222.6428571,-75.52777778,376.5142857,-2654.613492,-2877.073016,-3099.53254,244.2857143,247.8928571,-172.1111111,529.2642857,-3368.696825,-3591.156349,-3813.615873,269.5357143,273.1428571,-268.6944444,682.0142857,-4082.780159,-4305.239683,-4527.699206,294.7857143,298.3928571,-365.2777778,834.7642857,-4796.863492,-5019.323016,-5241.78254,320.0357143,323.6428571,-461.8611111,987.5142857,-5510.946825,-5733.406349,-5955.865873,345.2857143,348.8928571,-558.4444444,1140.264286,-6225.030159,-6447.489683,-6669.949206,370.5357143,374.1428571,-655.0277778,1293.014286,-6939.113492,-7161.573016,-7384.03254,395.7857143,399.3928571,-751.6111111,1445.764286,-7653.196825,-7875.656349,-8098.115873,421.0357143,424.6428571,-848.1944444,1598.514286,-8367.280159,-8589.739683,-8812.199206,446.2857143,449.8928571,-944.7777778,1751.264286,-9081.363492,-9303.823016,-9526.28254,471.5357143,475.1428571
